maze_id,rows,cols,obstacle_density,algorithm,success,path_length,cost,nodes_expanded,runtime_seconds
d0.1_t0,20,20,0.1,A*,True,38,38,342,0.0017833998426795006
d0.1_t0,20,20,0.1,Dijkstra,True,38,38,368,0.011666599893942475
d0.1_t0,20,20,0.1,Q-Learning,False,0,inf,367,0.33876210008747876
d0.1_t1,20,20,0.1,A*,True,38,38,329,0.0015617001336067915
d0.1_t1,20,20,0.1,Dijkstra,True,38,38,349,0.0013837998267263174
d0.1_t1,20,20,0.1,Q-Learning,False,0,inf,348,0.37967960024252534
d0.1_t2,20,20,0.1,A*,True,38,38,362,0.0016801999881863594
d0.1_t2,20,20,0.1,Dijkstra,True,38,38,368,0.0023465000558644533
d0.1_t2,20,20,0.1,Q-Learning,False,0,inf,367,0.3234124002046883
d0.2_t0,20,20,0.2,A*,True,38,38,251,0.0013713000807911158
d0.2_t0,20,20,0.2,Dijkstra,True,38,38,324,0.0014965999871492386
d0.2_t0,20,20,0.2,Q-Learning,False,0,inf,323,0.34345309995114803
d0.2_t1,20,20,0.2,A*,True,38,38,241,0.0011165000032633543
d0.2_t1,20,20,0.2,Dijkstra,True,38,38,316,0.0013359999284148216
d0.2_t1,20,20,0.2,Q-Learning,False,0,inf,315,0.35458369995467365
d0.2_t2,20,20,0.2,A*,True,38,38,237,0.0011069001629948616
d0.2_t2,20,20,0.2,Dijkstra,True,38,38,327,0.001315099885687232
d0.2_t2,20,20,0.2,Q-Learning,False,0,inf,326,0.35185600025579333
d0.3_t0,20,20,0.3,A*,True,38,38,133,0.0005912999622523785
d0.3_t0,20,20,0.3,Dijkstra,True,38,38,248,0.001289699925109744
d0.3_t0,20,20,0.3,Q-Learning,True,38,38,249,0.30426820018328726
d0.3_t1,20,20,0.3,A*,True,42,42,175,0.0007780001033097506
d0.3_t1,20,20,0.3,Dijkstra,True,42,42,245,0.000931799877434969
d0.3_t1,20,20,0.3,Q-Learning,True,42,42,244,0.4136378997936845
d0.3_t2,20,20,0.3,A*,True,52,52,166,0.0007106999401003122
d0.3_t2,20,20,0.3,Dijkstra,True,52,52,234,0.0008697998709976673
d0.3_t2,20,20,0.3,Q-Learning,True,52,52,233,0.32432469981722534
d0.4_t0,20,20,0.4,A*,True,46,46,146,0.0006829998455941677
d0.4_t0,20,20,0.4,Dijkstra,True,46,46,220,0.000873900018632412
d0.4_t0,20,20,0.4,Q-Learning,False,0,inf,219,0.48113009985536337
d0.4_t1,20,20,0.4,A*,True,40,40,97,0.00047949980944395065
d0.4_t1,20,20,0.4,Dijkstra,True,40,40,238,0.000897000078111887
d0.4_t1,20,20,0.4,Q-Learning,True,40,40,243,0.3368630001787096
d0.4_t2,20,20,0.4,A*,True,38,38,60,0.00025819987058639526
d0.4_t2,20,20,0.4,Dijkstra,True,38,38,189,0.0006969999521970749
d0.4_t2,20,20,0.4,Q-Learning,True,38,38,222,0.3236954999156296
